hostname,timestamp,estado,datos,error,entorno_openssl_version,entorno_fallback_tls12,datos_conexion_tiempo_conexion_segundos,datos_conexion_latencia_dns_ms,datos_protocolo_version,datos_protocolo_suite_cifrado,datos_protocolo_bits_clave,datos_protocolo_perfect_forward_secrecy,datos_protocolo_suite_debil,datos_certificado_sujeto,datos_certificado_emisor,datos_certificado_numero_serie,datos_certificado_algoritmo_firma,datos_certificado_valido_desde,datos_certificado_valido_hasta,datos_certificado_dias_valido,datos_certificado_estado_validez,datos_certificado_subject_alternative_names,datos_certificado_clave_publica_algoritmo,datos_certificado_clave_publica_tamaño_bits,datos_certificado_clave_publica_clave_debil,datos_certificado_clave_publica_curva,datos_certificado_hash_sha256,datos_certificado_hash_sha1,datos_certificado_cadena_certificados,datos_certificado_es_autofirmado,datos_seguridad_avanzada_hsts_presente,datos_seguridad_avanzada_hsts_max_age,datos_seguridad_avanzada_ocsp_stapling,datos_seguridad_avanzada_versiones_tls_soportadas_TLS1.0,datos_seguridad_avanzada_versiones_tls_soportadas_TLS1.1,datos_seguridad_avanzada_versiones_tls_soportadas_TLS1.2,datos_seguridad_avanzada_versiones_tls_soportadas_TLS1.3
cloudfront.net,2026-02-04T10:18:34.520987+00:00,error,,No se pudo resolver DNS para cloudfront.net,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akam.net,2026-02-04T10:18:34.374346+00:00,error,,No se pudo resolver DNS para akam.net,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
office.net,2026-02-04T10:18:34.366670+00:00,error,,No se pudo resolver DNS para office.net,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoftonline.com,2026-02-04T10:18:34.316809+00:00,error,,No se pudo resolver DNS para microsoftonline.com,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2ro.com,2026-02-04T10:18:34.336104+00:00,error,,No se pudo resolver DNS para e2ro.com,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple-dns.net,2026-02-04T10:18:34.356842+00:00,error,,No se pudo resolver DNS para apple-dns.net,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trafficmanager.net,2026-02-04T10:18:34.391588+00:00,error,,No se pudo resolver DNS para trafficmanager.net,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akadns.net,2026-02-04T10:18:34.303694+00:00,error,,No se pudo resolver DNS para akadns.net,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windowsupdate.com,2026-02-04T10:18:34.321772+00:00,error,,No se pudo resolver DNS para windowsupdate.com,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaplimg.com,2026-02-04T10:18:34.362039+00:00,error,,No se pudo resolver DNS para aaplimg.com,OpenSSL 3.0.13 30 Jan 2024,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
