Grupo,Total Pruebas,Aceptados,Rechazados,Errores,% Aceptación,% Rechazo,% Error,Handshake Media (ms),Handshake Mediana (ms),Handshake Desv.Std (ms),Handshake Min (ms),Handshake Max (ms),DNS Media (ms),TCP Media (ms),Bytes Enviados Media,Bytes Recibidos Media,Bytes Totales Media,Overhead Handshake Media
Automático,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
X25519,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
X25519MLKEM768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
x25519_kyber768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
mlkem768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
kyber768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
p256_kyber768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
SecP256r1MLKEM768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
x25519_mlkem512,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
x25519_kyber512,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
frodo640aes,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
bikel1,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
x25519_bikel1,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
x25519_hqc128,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
