Grupo,Total Pruebas,Aceptados,Rechazados,Errores,% Aceptación,% Rechazo,% Error,Handshake Media (ms),Handshake Mediana (ms),Handshake Desv.Std (ms),Handshake Min (ms),Handshake Max (ms),DNS Media (ms),TCP Media (ms),Bytes Enviados Media,Bytes Recibidos Media,Bytes Totales Media,Overhead Handshake Media
Automático,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
X25519,1,1,0,0,100.0,0.0,0.0,75.84,75.84,0,75.84,75.84,0.19,0.38,546,10575,11121,11121
X25519MLKEM768,1,1,0,0,100.0,0.0,0.0,85.7,85.7,0,85.7,85.7,0.21,0.42,1722,11689,13411,13411
x25519_kyber768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
mlkem768,1,1,0,0,100.0,0.0,0.0,78.49,78.49,0,78.49,78.49,0.2,0.43,1690,11657,13347,13347
kyber768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
p256_kyber768,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
SecP256r1MLKEM768,1,1,0,0,100.0,0.0,0.0,133.24,133.24,0,133.24,133.24,0.22,0.43,1755,11722,13477,13477
x25519_mlkem512,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
x25519_kyber512,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
frodo640aes,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
bikel1,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
x25519_bikel1,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
x25519_hqc128,1,0,1,0,0.0,100.0,0.0,,,,,,,,,,,
