grupo,total_pruebas,aceptados,rechazados,timeouts,errores,porcentaje_aceptacion,porcentaje_rechazo,porcentaje_timeout,porcentaje_error,handshake_time_ms_media,handshake_time_ms_mediana,handshake_time_ms_desv_std,handshake_time_ms_min,handshake_time_ms_max,dns_time_ms_media,dns_time_ms_mediana,dns_time_ms_desv_std,dns_time_ms_min,dns_time_ms_max,tcp_time_ms_media,tcp_time_ms_mediana,tcp_time_ms_desv_std,tcp_time_ms_min,tcp_time_ms_max,bytes_sent_media,bytes_sent_mediana,bytes_sent_desv_std,bytes_sent_min,bytes_sent_max,bytes_received_media,bytes_received_mediana,bytes_received_desv_std,bytes_received_min,bytes_received_max,handshake_overhead_media,handshake_overhead_mediana,handshake_overhead_desv_std,handshake_overhead_min,handshake_overhead_max,handshake_total_overhead_media,handshake_total_overhead_mediana,handshake_total_overhead_desv_std,handshake_total_overhead_min,handshake_total_overhead_max
X25519,2000,1482,484,3,31,74.1,24.2,0.15,1.55,154.25,35.86,301.26,18.76,3648.16,432.49,17.23,922.58,2.56,2836.65,37.21,4.46,79.61,2.7,1270.63,351.49,351.0,3.78,344,372,133,133.0,0.0,133,133,484.49,484.0,3.78,477,505,4435.88,3992.0,1587.58,2602,14387
X25519MLKEM768,2000,873,1093,2,32,43.65,54.65,0.1,1.6,96.21,29.4,298.7,19.99,2683.9,496.78,3.66,995.3,1.44,2620.99,14.91,4.23,35.91,2.94,291.13,1528.07,1528,3.79,1520,1548,1221,1221,0.0,1221,1221,2749.07,2749,3.79,2741,2769,6444.6,5809,1484.18,4923,14698
x25519_kyber768,2000,392,1425,148,35,19.6,71.25,7.4,1.75,55.72,29.39,224.16,22.96,2570.06,681.5,3.74,1112.69,1.34,2537.04,5.11,4.21,10.38,3.03,202.72,1528.19,1528.0,3.49,1520,1542,1221,1221.0,0.0,1221,1221,2749.19,2749.0,3.49,2741,2763,5721.1,5514.0,947.28,4998,10463
mlkem768,2000,0,1818,148,34,0.0,90.9,7.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyber768,2000,0,1818,148,34,0.0,90.9,7.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p256_kyber768,2000,0,1819,148,33,0.0,90.95,7.4,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecP256r1MLKEM768,2000,157,1807,1,35,7.85,90.35,0.05,1.75,82.2,26.61,229.8,20.95,2541.87,144.56,11.54,553.23,1.83,2514.09,14.46,4.15,35.22,3.17,285.4,1561.64,1562,3.78,1554,1573,1254,1254,0.0,1254,1254,2815.64,2816,3.78,2808,2827,7266.08,7093,673.71,5107,11628
x25519_mlkem512,2000,0,1818,148,34,0.0,90.9,7.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x25519_kyber512,2000,0,1817,148,35,0.0,90.85,7.4,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frodo640aes,2000,0,1817,150,33,0.0,90.85,7.5,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bikel1,2000,0,1816,148,36,0.0,90.8,7.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x25519_bikel1,2000,0,1818,148,34,0.0,90.9,7.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x25519_hqc128,2000,0,1816,148,36,0.0,90.8,7.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
